date,close,open,high,low,volume,x(t-1),x(t-2),x(t-3),MA5,MA10,MA20,BIAS5,BIAS10,DIFF,BU,BL,KDJ,KDJ(t-1),ROC,TR（14）,MTM6,MTM12,WR%10,WR%5,OSC6,OSC12,RSI6,RSI12,PSY,OBV,return,(x(t)-xo(t))/xo(t),(x(t)-xl(t))/(xh(t)- xl(t)),(MA5(t)-MA5(t-1))/MA5(t-1),(MA20(t)-MA20(t-1))/MA20(t-1),(MA5(t)-MA20(t-1))/MA20(t-1),(x(t)-MA20(t))/MA20(t)
1/4/10,3535.229,3592.468,3597.748,3535.229,6610108000,3575.684,3575.68,3558.857,3529.79,3455.1185,3508.9738,0.1541,2.3186,-0.7398,"3,708.8992","3,326.9609",77.7282,76.9618,-0.716,66.1354,96.412,-25.494,20.739,37.906844,-0.1607,-1.91219,58.214907,53.424573,66.666667,15761101790,-0.0113,-0.0159,0,0.00625794,-0.003031197,0.00438287,0.007482302
1/5/10,3564.038,3545.186,3577.526,3497.661,8580964100,3535.229,3575.684,3575.684,3546.91,3471.8601,3503.7341,0.4829,2.655,4.4354,"3,708.7052","3,341.1186",81.4247,77.7282,2.4104,68.8372,139.255,83.885,11.1824,22.999093,0.2994,-1.908078,63.228944,55.993992,75,15846911431,0.0081,0.0053,0.8311,0.004850433,-0.001493229,0.010811195,0.017211323
1/6/10,3541.727,3558.7,3588.832,3541.173,7847312500,3564.038,3535.229,3575.684,3555.11,3495.4785,3499.6195,-0.3764,1.3231,6.6597,"3,709.8917","3,342.2443",80.3912,81.4247,4.4223,67.9544,63.294,149.992,18.5835,55.972304,0.5634,-1.574446,56.885306,53.500459,66.666667,15768438306,-0.0063,-0.0048,0.0116,0.002311308,-0.001174347,0.014663185,0.012032022
1/7/10,3471.456,3543.16,3558.556,3452.769,8035003700,3541.727,3564.038,3535.229,3537.63,3508.9761,3495.4684,-1.8705,-1.0693,2.7208,"3,707.0670","3,338.1940",64.4253,80.3912,2.2032,67.8967,-29.281,74.834,48.8652,87.110547,0.5234,-1.293455,41.245343,46.400698,66.666667,15688088269,-0.0198,-0.0202,0.1766,-0.004916927,-0.001186158,0.010861324,-0.00686958
1/8/10,3480.13,3456.908,3482.083,3426.698,6079025300,3471.456,3541.727,3564.038,3518.52,3513.1074,3490.61305,-1.091,-0.9387,0.2957,"3,700.7563","3,335.4894",53.3627,64.4253,5.2816,65.1044,-78.727,174.587,62.8701,68.76235,0.2812,-0.742377,43.544489,47.341688,66.666667,15748878522,0.0025,0.0067,0.9647,-0.005402153,-0.001389041,0.00659471,-0.003003212
1/11/10,3482.052,3593.106,3594.528,3465.317,8998017200,3480.13,3471.456,3541.727,3507.88,3518.8343,3485.96465,-0.7363,-1.0453,-1.4544,"3,694.6879","3,333.1867",46.3623,53.3627,4.363,70.763,-93.632,145.572,67.6387,67.017816,-0.0427,-0.274196,44.125856,47.564211,66.666667,15838858694,0.0006,-0.0309,0.1295,-0.003022695,-0.001331686,0.004946681,-0.001122401
1/12/10,3534.916,3477.842,3535.407,3437.661,9374327800,3482.052,3480.13,3471.456,3502.06,3524.4826,3482.0728,0.9383,0.296,1.4082,"3,683.2161","3,336.3066",51.9971,46.3623,2.7945,70.0314,-0.313,96.099,36.7331,35.519275,0.0747,0.073327,58.299295,53.464688,75,15932601972,0.0152,0.0164,0.995,-0.001660376,-0.001116434,0.004617187,0.015175788
1/13/10,3421.144,3448.291,3490.112,3415.693,11245790100,3534.916,3482.052,3480.13,3477.94,3516.5233,3473.96295,-1.633,-2.7123,-5.441,"3,664.6698","3,335.7999",35.6628,51.9971,-0.1063,75.2119,-142.894,-3.639,97.0059,96.951939,-0.3344,0.335951,35.223603,42.291516,66.666667,15820144071,-0.0322,-0.0079,0.0732,-0.006886411,-0.002329029,-0.001186879,-0.015204235
1/14/10,3469.051,3433.472,3470.323,3411.812,8335325200,3421.144,3534.916,3482.052,3477.46,3507.5427,3469.37935,-0.2418,-1.0974,-6.9235,"3,651.4021","3,337.1471",34.0366,35.6628,-0.2697,71.5895,-72.676,-9.382,69.2158,68.673242,-0.5125,0.483508,46.019799,47.346171,66.666667,15903497323,0.014,0.0104,0.9783,-0.0001383,-0.001319415,0.001006646,-9.46423E-05
1/15/10,3482.738,3472.524,3500.072,3448.661,7254310200,3469.051,3421.144,3534.916,3477.98,3498.2481,3469.5086,0.1368,-0.4434,-6.9143,"3,646.8262","3,336.2045",35.6303,34.0366,-0.5141,73.0268,11.282,-17.999,61.8546,61.182381,-0.3788,0.519595,48.937537,48.745381,66.666667,15976040425,0.0039,0.0029,0.6628,0.000149995,3.72545E-05,0.002479017,0.003813047
1/18/10,3500.684,3471.777,3501.26,3458.042,8285430700,3482.738,3469.051,3421.144,3481.71,3494.7936,3474.95605,0.5451,0.1685,-5.3966,"3,640.1270","3,337.0150",39.9667,35.6303,-1.6346,71.4859,20.554,-58.173,51.3606,28.094179,-0.1955,0.466007,52.939804,50.622242,66.666667,16058894732,0.0052,0.0083,0.9867,0.001071426,0.001570093,0.003516752,0.00740382
1/19/10,3507.482,3506.806,3528.39,3497.094,7488323200,3500.684,3482.738,3469.051,3476.22,3489.138,3480.49905,0.8993,0.5257,-3.6038,"3,633.7824","3,338.1644",44.0978,39.9667,-1.9074,70.1449,25.43,-68.202,47.6401,17.934773,0.0008,0.378576,54.558812,51.358297,75,16133777964,0.0019,0.0002,0.3319,-0.001575894,0.001595128,0.000363731,0.00775261
1/20/10,3394.434,3512.246,3515.449,3387.818,9249514600,3507.482,3500.684,3482.738,3470.88,3474.4087,3484.9436,-2.2024,-2.3018,-11.1762,"3,620.3414","3,334.8116",30.4654,44.0978,-3.9826,74.7571,-140.482,-140.795,96.7994,95.293515,-0.4328,0.284192,32.349787,40.426035,66.666667,16041282818,-0.0322,-0.0335,0.0518,-0.001536727,0.001276986,-0.002763698,-0.025971611
1/21/10,3408.574,3397.043,3425.18,3364.723,7059506800,3394.434,3507.482,3500.684,3458.78,3468.1205,3488.5483,-1.4516,-1.717,-15.8537,"3,609.4645","3,332.2449",26.6709,30.4654,-4.362,76.4228,-12.57,-155.464,80.9182,73.207183,-0.2994,0.105846,36.24513,42.107534,75,16111877886,0.0042,0.0034,0.7253,-0.003484825,0.001034364,-0.007507611,-0.022924808
1/22/10,3366.197,3364.452,3390.796,3293.194,8893340400,3408.574,3394.434,3507.482,3435.47,3456.7272,3484.9173,-2.0165,-2.619,-22.7181,"3,602.7694","3,323.9765",27.8272,26.6709,-4.9561,80.1986,-102.854,-175.53,75.7734,68.960782,-0.5815,-0.100237,30.02711,38.550114,75,16022944482,-0.0124,0.0005,0.748,-0.006738845,-0.001040834,-0.015215011,-0.034066892
1/25/10,3328.014,3340.013,3372.426,3326.266,5684917100,3366.197,3408.574,3394.434,3400.94,3441.3234,3480.07885,-2.1443,-3.2926,-30.8833,"3,606.0807","3,308.9621",23.4864,27.8272,-4.132,77.7911,-154.724,-143.442,85.6242,85.195326,-1.1692,-0.277559,25.328832,35.594256,66.666667,15966095311,-0.0113,-0.0036,0.0379,-0.010052179,-0.001388397,-0.024097358,-0.043695806
1/26/10,3242.797,3328.113,3341.198,3222.14,6175223100,3328.014,3366.197,3408.574,3348,3412.1115,3468.29705,-3.1424,-4.9622,-43.7266,"3,620.2154","3,283.3707",17.906,23.4864,-6.8197,82.891,-257.887,-237.333,93.2549,92.957257,-2.288,-0.688981,17.849186,29.99477,58.333333,15904343080,-0.0256,-0.0256,0.1735,-0.015565402,-0.003385498,-0.037952833,-0.065017513
1/27/10,3198.566,3243.038,3255.116,3183.365,5269139400,3242.797,3328.014,3366.197,3308.83,3389.8537,3453.1885,-3.3324,-5.6429,-56.819,"3,637.9045","3,250.4465",13.4059,17.906,-8.1413,80.4599,-308.916,-283.486,95.5942,93.713789,-3.6435,-1.163906,15.076244,27.541502,50,15851651686,-0.0136,-0.0137,0.2119,-0.011700586,-0.004356187,-0.045978487,-0.073735477
1/28/10,3206.57,3195.289,3220.306,3168.463,4699071600,3198.566,3242.797,3328.014,3268.43,3363.6056,3435.57415,-1.8926,-4.6687,-65.7906,"3,648.2193","3,232.5184",12.4664,13.4059,-9.2887,80.2069,-187.864,-328.346,89.4126,82.860394,-4.5137,-1.870825,17.847674,28.692836,58.333333,15898642402,0.0025,0.0035,0.735,-0.012209997,-0.005100894,-0.05350374,-0.066656733
1/29/10,3204.155,3190.315,3249.455,3176.916,5026261300,3206.57,3198.566,3242.797,3236.02,3335.7473,3416.9977,-0.9847,-3.9449,-72.2626,"3,658.9352","3,211.6237",11.6164,12.4664,-6.3426,76.1589,-204.419,-216.989,90.0835,82.500748,-5.4505,-2.267695,17.63925,28.54355,50,15848379789,-0.0008,0.0043,0.3755,-0.00991559,-0.005407087,-0.058084658,-0.062289389
2/1/10,3152.707,3198.23,3198.311,3116.439,5700138000,3204.155,3206.57,3198.566,3200.96,3300.9496,3397.8716,-1.5074,-4.4909,-80.6138,"3,672.9110","3,175.6394",10.7741,11.6164,-9.119,75.4424,-213.49,-316.344,91.196,83.863605,-6.2735,-2.746447,13.583949,25.464478,41.666667,15791378409,-0.0161,-0.0142,0.443,-0.010834728,-0.005597341,-0.063224421,-0.072152403
2/2/10,3146.189,3170.778,3211.941,3143.085,5013003300,3152.707,3204.155,3206.57,3181.64,3264.8203,3376.97915,-1.1142,-3.6336,-86.758,"3,684.2216","3,142.8984",10.3947,10.7741,-9.6633,71.8448,-181.825,-336.549,92.544,78.547272,-6.9468,-3.294178,13.1252,25.090406,33.333333,15741248376,-0.0021,-0.0078,0.0451,-0.006036191,-0.006148687,-0.063637366,-0.06834219
2/3/10,3230.715,3160.712,3231.102,3094.568,6479889400,3146.189,3152.707,3204.155,3188.07,3248.4484,3361.42855,1.3377,-0.5459,-83.8404,"3,682.2240","3,125.8408",22.2499,10.3947,-7.7119,77.4179,-12.082,-269.969,58.8197,12.099143,-6.7156,-3.711913,43.053144,37.97942,33.333333,15806047270,0.0269,0.0221,0.9972,0.002020909,-0.004604885,-0.055940277,-0.038886309
2/4/10,3218.802,3206.431,3242.519,3190.437,5897272600,3230.715,3146.189,3152.707,3190.51,3229.4712,3348.79585,0.8866,-0.3304,-81.5494,"3,677.3718","3,109.0057",29.737,22.2499,-8.2304,77.4658,20.236,-288.68,58.0614,19.790557,-6.2633,-4.144859,40.682828,37.000583,33.333333,15747074544,-0.0037,0.0039,0.5446,0.000767361,-0.003758134,-0.050846998,-0.038818087
2/5/10,3153.087,3147.721,3177.42,3129.921,5910584500,3218.802,3230.715,3146.189,3180.3,3208.1602,3332.4437,-0.8557,-1.7167,-84.0673,"3,668.1547","3,087.0098",27.7338,29.737,-7.1101,80.7274,-53.483,-241.347,78.9392,60.44704,-6.0707,-4.309753,29.816502,32.032542,25,15687968699,-0.0204,0.0017,0.4877,-0.00320124,-0.004882994,-0.050315354,-0.053821374
2/8/10,3150.988,3152.253,3172.306,3133.808,3735595100,3153.087,3218.802,3230.715,3179.96,3190.4576,3315.8905,-0.911,-1.2371,-85.2495,"3,653.1839","3,069.3116",30.2033,27.7338,-7.557,81.2419,-53.167,-257.586,77.1236,61.865753,-5.8522,-4.498033,29.514344,31.883373,25,15650612748,-0.0007,-0.0004,0.4463,-0.000108103,-0.004967286,-0.045757322,-0.049730985
2/9/10,3169.19,3147.761,3178.947,3144.478,3595315800,3150.988,3153.087,3218.802,3184.56,3183.0969,3297.6042,-0.4825,-0.4369,-83.7521,"3,639.4909","3,054.8478",36.195,30.2033,-5.8525,74.5874,16.483,-197.007,53.5204,49.563031,-5.3178,-4.594194,36.238302,34.757537,33.333333,15686565906,0.0058,0.0068,0.7169,0.001446624,-0.005514748,-0.039606404,-0.038941666
2/10/10,3214.13,3195.142,3214.456,3182.834,3421989400,3169.19,3150.988,3153.087,3181.24,3184.6533,3287.2535,1.0339,0.9256,-78.0396,"3,616.9334","3,050.4893",49.861,36.195,-3.422,73.5024,67.941,-113.884,22.807,25.212704,-4.5219,-4.483506,50.288346,41.415532,41.666667,15720785800,0.0142,0.0059,0.9897,-0.001041589,-0.003138855,-0.035287498,-0.022244558
2/11/10,3220.398,3216.688,3238.349,3207.165,3579105200,3214.13,3169.19,3150.988,3181.56,3186.0361,3274.82085,1.2208,1.0785,-72.1746,"3,595.0716","3,047.6335",61.5901,49.861,-0.6907,67.4884,-10.317,-22.399,18.7601,16.555687,-4.1906,-4.157096,52.056518,42.311285,50,15756576852,0.002,0.0012,0.4244,0.000100338,-0.003782078,-0.032152525,-0.016618573
2/12/10,3251.278,3232.879,3253.196,3228.738,3405823800,3220.398,3214.13,3169.19,3201.2,3190.7484,3263.24785,1.5645,1.897,-64.2937,"3,581.0714","3,044.6969",73.9904,61.5901,1.648,66.5339,32.476,52.712,1.2091,1.606527,-3.7488,-3.748612,60.386421,46.691909,50,15790635090,0.0096,0.0057,0.9216,0.006172509,-0.003533934,-0.022480879,-0.003668079
2/22/10,3233.345,3248.947,3261.949,3232.784,3828377200,3251.278,3220.398,3214.13,3217.67,3198.8122,3249.8809,0.4872,1.0796,-58.817,"3,564.6089","3,042.1759",76.9639,73.9904,0.835,60.113,80.258,26.775,17.0892,24.34984,-3.02,-3.379125,53.864575,44.548795,50,15752351318,-0.0055,-0.0048,0.0192,0.005145388,-0.00409621,-0.013967021,-0.005088156
2/23/10,3198.634,3225.393,3225.393,3152.934,4274289800,3233.345,3251.278,3220.398,3223.56,3204.0567,3234.4385,-0.7732,-0.1692,-56.6249,"3,546.5320","3,038.4514",68.6573,76.9639,-0.1723,60.7316,47.646,-5.521,37.8269,58.079163,-2.4264,-3.052828,43.062128,40.612678,50,15709608420,-0.0107,-0.0083,0.6307,0.001830145,-0.004751682,-0.008099035,-0.011069773
2/24/10,3244.483,3177.082,3244.816,3165.133,4998943700,3198.634,3233.345,3251.278,3229.63,3205.4335,3226.94095,0.46,1.2182,-50.6046,"3,516.5881","3,046.0544",74.6952,68.6573,2.911,62.7201,75.293,91.776,13.229,16.021648,-1.6819,-2.457937,56.795853,47.319725,58.333333,15759597857,0.0143,0.0212,0.9958,0.001883199,-0.002318038,-0.001486657,0.005436124
2/25/10,3292.128,3252.153,3294.144,3249.329,6758661700,3244.483,3198.634,3233.345,3243.97,3212.7661,3221.11865,1.4844,2.4702,-41.5105,"3,504.9684","3,047.7498",82.711,74.6952,4.6386,61.086,77.998,145.939,1.2276,1.427661,-1.1208,-1.91598,66.78609,53.298894,58.333333,15827184474,0.0147,0.0123,0.955,0.004441998,-0.001804278,0.00527715,0.022044935
2/26/10,3281.666,3286.095,3301.149,3273.693,5210728800,3292.128,3244.483,3198.634,3250.05,3225.624,3216.8921,0.9727,1.7374,-34.747,"3,484.4342","3,053.8698",84.3288,82.711,1.5771,56.7817,61.268,50.951,11.6427,13.145093,-0.5814,-1.557659,62.950533,51.888154,58.333333,15775077186,-0.0032,-0.0013,0.2904,0.001873505,-0.001312137,0.008981771,0.020135553
3/1/10,3324.423,3290.007,3330.378,3287.556,6050452000,3281.666,3292.128,3244.483,3268.27,3242.9675,3216.71255,1.7182,2.5118,-25.6411,"3,462.1855","3,063.9404",88.4339,84.3288,3.2814,55.3429,73.145,105.621,3.2033,3.355988,-0.0189,-1.092084,71.092462,56.96644,66.666667,15835581706,0.013,0.0105,0.8609,0.005604712,-5.58147E-05,0.015971285,0.033484636
3/2/10,3311.236,3327.103,3339.894,3299.685,5703437400,3324.423,3281.666,3292.128,3290.79,3257.1721,3220.1345,0.6214,1.6598,-19.2666,"3,432.1503","3,079.4027",87.1798,88.4339,5.0157,48.4625,77.891,158.149,15.3284,16.398396,0.6,-0.456184,65.745223,55.012749,66.666667,15778547332,-0.004,-0.0048,0.2873,0.006890625,0.001063803,0.023028931,0.02829121
3/3/10,3335.081,3313.023,3335.654,3293.916,6062273200,3311.236,3324.423,3281.666,3308.91,3269.2672,3226.96025,0.791,2.0131,-12.1507,"3,397.9824","3,100.3089",90.5951,87.1798,5.8424,47.7236,136.447,184.093,2.5743,5.314415,1.4864,0.220709,70.551433,57.863351,66.666667,15839170064,0.0072,0.0067,0.9863,0.00550616,0.00211971,0.027568879,0.033505448
