Date,Close,Open,High,Low,Volume,x(t-1),x(t-2),x(t-3),MA5,MA10,MA20,BIAS5,BIAS10,DIFF,BU,BL,KDJ,KDJ(t-1),ROC,TR（14）,MTM6,MTM12,WR%10,WR%5,OSC6,OSC12,RSI6,RSI12,PSY,OBV,return,(x(t)-xo(t))/xo(t),(x(t)-xl(t))/(xh(t)- xl(t)),(MA5(t)-MA5(t-1))/MA5(t-1),(MA20(t)-MA20(t-1))/MA20(t-1),(MA5(t)-MA20(t-1))/MA20(t-1),(x(t)-MA20(t))/MA20(t)
1/4/10,1132.98999,1116.560059,1133.869995,1116.560059,3991400000,1115.1,1115.1,1126.42,1125.698,1121.01,1112.164,0.647776,1.068679,8.643298,1132.999138,1086.927786,84.870356,78.84615,2.146631,9.192857,6.51,23.81,3.081232,4.616999,1.409173,0.714095,67.244306,63.214617,75,1670751798,0.016043395,0.014714776,0.949161857,0.001157955,0.001488955,0.013676143,0.018725647
1/5/10,1136.52002,1132.660034,1136.630005,1129.660034,2491020000,1132.98999,1115.1,1115.1,1127.446,1124.415,1113.691,0.804828,1.07656,9.350417,1136.160575,1085.757887,89.747808,84.870356,3.689512,9.094286,10.04,40.44,0.497288,0.504125,1.467176,0.827135,70.122163,64.833024,83.333333,1680495719,0.003115676,0.003407895,0.984220164,0.001552814,0.001372999,0.013740779,0.020498522
1/6/10,1137.140015,1135.709961,1139.189941,1133.949951,4972660000,1136.52002,1132.98999,1115.1,1129.634,1126.724,1115.3855,0.664463,0.92445,9.847328,1138.597668,1086.832332,90.362361,89.747808,3.144757,8.842857,9.36,34.67,8.408532,8.408532,1.44781,0.972874,70.665365,65.126998,83.333333,1689649585,0.000545521,0.001259172,0.608792002,0.001940669,0.001521517,0.014315461,0.019504032
1/7/10,1141.689941,1136.27002,1142.459961,1131.319946,5270680000,1137.140015,1136.52002,1132.98999,1132.688,1129.091,1117.873,0.794747,1.115853,10.487389,1141.71912,1087.253957,92.646638,90.362361,2.481038,9.047143,15.49,27.64,2.78481,2.78481,1.516096,1.102875,74.713876,67.31444,83.333333,1700117112,0.004001201,0.004769923,0.93087801,0.002703531,0.002230171,0.015512574,0.021305587
1/8/10,1144.97998,1140.52002,1145.390015,1136.219971,4389590000,1141.689941,1137.140015,1136.52002,1138.664,1131.53,1120.3245,0.554685,1.188656,11.131796,1145.406723,1086.344816,94.650843,92.646638,2.411406,8.752143,18.56,26.96,1.340746,1.42213,1.662139,1.205562,77.418091,68.85544,83.333333,1708729171,0.002881727,0.003910462,0.955285384,0.005275945,0.002193004,0.018598714,0.022007445
1/11/10,1146.97998,1145.959961,1149.73999,1142.02002,4255780000,1144.97998,1141.689941,1137.140015,1141.462,1133.58,1122.556,0.483415,1.182096,11.66936,1149.040349,1085.614266,93.800056,94.650843,2.355009,8.599286,31.88,26.39,7.901517,13.74502,1.993131,1.287963,79.05231,69.799677,83.333333,1716735761,0.001746755,0.0008901,0.642484362,0.002457266,0.001991834,0.018867301,0.021757471
1/12/10,1136.219971,1143.810059,1143.810059,1131.77002,4716160000,1146.97998,1144.97998,1141.689941,1141.402,1134.424,1124.0465,-0.454003,0.158318,11.099197,1150.444359,1087.002564,82.96471,93.800056,0.86464,8.599286,3.23,9.74,38.705983,73.39848,1.916982,1.278218,53.879301,59.255798,75,1707175808,-0.009381165,-0.006635794,0.369596062,-5.25642E-05,0.001327773,0.016788472,0.010830042
1/13/10,1145.680054,1137.310059,1148.400024,1133.180054,4170360000,1136.219971,1146.97998,1144.97998,1143.11,1136.372,1125.625,0.224825,0.819098,11.280645,1153.16996,1087.330809,84.768724,82.96471,1.704424,9.242143,9.16,19.2,11.623246,22.04126,1.914397,1.282855,65.477347,64.411876,75,1715609446,0.008325926,0.007359466,0.821289398,0.001496405,0.001404301,0.016959708,0.017816816
1/14/10,1148.459961,1145.680054,1150.410034,1143.800049,3915200000,1145.680054,1136.219971,1146.97998,1144.464,1138.576,1127.6515,0.349159,0.868102,11.516016,1155.89452,1088.083942,87.92558,84.768724,1.833691,9.315714,11.32,20.68,5.477528,10.461373,1.924161,1.279545,68.289429,65.799367,83.333333,1723867257,0.002426425,0.002426425,0.704980722,0.001184488,0.001800333,0.01673648,0.018452918
1/15/10,1136.030029,1147.719971,1147.77002,1131.390015,4758730000,1148.459961,1145.680054,1136.219971,1142.674,1140.669,1128.994,-0.581443,-0.406691,10.577621,1155.770502,1091.599498,68.849985,87.92558,0.872847,10.114286,-5.66,9.83,42.481536,75.604627,1.694868,1.20155,47.520558,55.285731,75,1710212022,-0.01082313,-0.010185361,0.283273052,-0.001564051,0.001190527,0.013321935,0.006232123
1/19/10,1150.22998,1136.030029,1150.449951,1135.77002,4724830000,1136.030029,1148.459961,1145.680054,1143.324,1142.393,1131.7015,0.604028,0.686016,10.854632,1157.428785,1094.1166,78.849981,68.849985,3.15039,10.672143,3.25,35.13,1.150026,1.15425,1.587561,1.19037,62.96244,62.711079,83.333333,1719246384,0.012499626,0.012499626,0.985015529,0.000568841,0.002398153,0.012692716,0.016372232
